deep_id,publisher_id,uncertain
5138.01,81,false
5138.02,81,false
5138.03,81,false
5139,81,false
5139.01,81,false
5139.02,81,false
5139.03,81,false
5140,81,false
5140.04,81,false
5143,81,false
5143,140,false
5144,149,false
5144.01,149,false
5144.02,149,false
5144.03,149,false
5144.04,149,false
5145,81,false
5145,140,false
5145.02,81,false
5146,81,false
5146.01,81,false
5146.02,81,false
5146.02,158,false
5146.03,81,false
5146.04,81,false
5146.05,81,false
5147.01,33,false
5147.03,72,false
5147.04,46,false
5147.05,72,false
5147.06,43,false
5148.01,43,false
5148.02,72,false
5148.03,68,false
5148.05,74,false
5148.06,48,false
5148.06,60,false
5148.07,48,false
5148.08,73,false
5149.01,131,false
5149.02,143,false
5149.03,142,false
5149.04,142,false
5149.05,142,false
5149.06,131,false
5149.07,119,false
5150,159,false
5151,224,false
5152,224,false
5153,81,false
5153,190,false
5153,191,false
5153.02,190,false
5153.02,191,false
5153.03,190,false
5153.03,191,false
5153.04,190,false
5153.04,191,false
5153.05,190,false
5153.05,191,false
5155,81,false
5155,140,false
5155.01,81,false
5155.01,140,false
5155.02,81,false
5155.02,140,false
5155.03,81,false
5155.03,140,false
5155.04,81,false
5155.04,140,false
5155.05,81,false
5155.05,140,false
5155.06,81,false
5155.06,140,false
5156,81,false
5156,140,false
5156.01,81,false
5156.02,81,false
5157,197,false
5157.02,197,false
5158,81,false
5158.01,81,false
5158.02,81,false
5159,81,false
5159,191,false
5160,191,false
5160,81,false
5161,81,false
5162,81,false
5163,225,false
5164,198,false
5165,81,false
5165.01,81,false
5165.02,81,false
5165.03,81,false
5166,211,false
5167,211,false
5168,226,false
5169,99,false
5169,100,false
5169.01,99,false
5169.01,100,false
5169.02,99,false
5169.02,100,false
5169.03,99,false
5169.03,100,false
5170,81,false
5170.01,81,false
5170.02,81,false
5171,81,false
5171.01,81,false
5171.02,81,false
5172,83,false
5172.01,163,false
5172.02,163,false
5176,156,false
5176.02,156,false
5176.04,156,false
5177,156,false
5178,156,false
5179,227,false
5179.02,37,false
5180,37,false
5181,37,false
5182,200,false
5182,149,false
5182.01,149,false
5182.01,200,false
5182.03,149,false
5182.04,200,false
5182.04,149,false
5182.05,200,false
5182.05,149,false
5182.06,200,false
5182.06,149,false
5183,81,false
