deep_id,printer_id,uncertain
751,99,false
752,55,false
753,2,false
754,100,false
754,109,false
755,50,false
756,69,false
757,69,false
758,69,false
759,69,false
760,69,false
761,69,false
762,89,false
763,89,false
764,60,false
764,87,false
765,50,false
766,56,false
767,78,false
768,69,false
769,78,false
770,78,false
771,2,false
773,103,false
774,103,false
775,55,false
776,55,false
777,73,false
778,89,false
779,89,false
780,78,false
781,55,false
782,2,false
783,55,false
784,55,false
785,55,false
786,78,false
787,60,false
787,87,false
788,78,false
789,74,false
790,89,false
791,89,false
792,74,false
793,55,false
794,69,false
795,55,false
796,73,false
797,73,false
798,73,false
799,73,false
800,110,false
800,111,false
801,110,false
801,111,false
802,111,false
802,112,false
803,112,false
804,2,false
805,89,false
806,89,false
807,78,false
808,55,false
809,55,false
810,50,false
811,75,false
812,89,false
813,55,false
814,60,false
814,87,false
815,89,false
816,60,false
816,87,false
817,89,false
818,55,false
819,90,false
820,73,false
821,92,false
822,89,false
823,73,false
824,73,false
825,113,false
826,69,false
827,69,false
828,69,false
829,69,false
830,69,false
831,69,false
832,89,false
833,68,false
834,68,false
835,100,false
836,73,false
837,78,false
838,2,false
839,2,false
840,2,false
841,2,false
842,69,false
843,73,false
843,99,false
844,92,false
845,103,true
846,55,false
847,2,false
848,2,false
849,92,false
850,92,false
851,88,false
852,105,true
853,103,false
854,55,false
855,55,false
856,55,false
857,92,false
858,92,false
859,69,false
860,114,false
861,114,false
862,114,false
863,115,false
864,115,false
865,101,false
866,2,false
867,2,false
868,105,true
869,73,false
869,99,false
870,100,false
871,100,false
872,100,false
873,78,false
874,69,false
875,99,false
876,69,false
877,55,false
878,56,false
879,93,false
880,56,false
881,56,false
882,99,false
883,75,false
884,99,false
885,99,false
886,99,false
887,99,false
888,99,false
889,76,false
890,69,false
891,69,false
892,69,false
893,69,false
894,2,false
895,2,false
896,100,false
897,100,false
898,116,false
899,115,false
900,115,false
900,116,false
901,115,false
901,116,false
902,56,false
903,95,false
904,95,false
905,2,false
906,115,false
907,115,false
907,116,false
908,115,false
908,116,false
909,99,false
910,99,false
911,100,false
912,100,false
913,78,false
915,117,false
916,117,false
918,106,false
919,99,false
920,118,false
921,118,false
922,78,false
923,106,false
924,78,false
925,78,false
926,78,false
927,78,false
928,99,false
929,99,false
930,100,false
931,100,false
932,100,false
933,119,false
934,119,false
935,118,false
936,114,false
937,99,false
938,100,false
939,114,false
940,120,false
941,78,false
942,121,false
943,121,false
944,78,false
945,100,false
946,100,false
947,100,false
948,100,false
949,100,false
950,100,false
951,117,false
952,100,false
953,100,false
954,90,false
955,90,false
956,90,false
957,90,false
958,90,false
959,90,false
960,90,false
961,90,false
962,99,false
963,99,false
964,99,false
966,116,false
967,106,false
968,106,false
969,99,false
970,99,false
971,99,false
972,100,false
973,100,false
974,100,false
975,100,false
976,99,false
977,99,false
978,88,false
979,88,false
980,99,false
981,102,false
982,102,false
983,99,false
984,99,false
985,114,false
986,121,false
987,101,false
988,2,false
989,2,false
990,2,false
991,2,false
992,2,false
993,2,false
994,106,false
995,122,false
996,2,false
997,123,false
998,2,false
999,123,false
1000,2,false
1001,124,false
1002,2,false
1003,122,false
1004,2,false
1005,125,false
1006,125,false
1007,2,false
1008,2,false
1009,2,false
1010,2,false
1011,2,false
1012,2,false
1013,2,false
1015,120,false
1016,120,false
1017,120,false
1018,2,false
1019,2,false
1020,2,false
1021,2,false
1022,2,false
1023,126,true
1024,2,false
1025,2,false
1026,2,false
1027,2,false
1028,2,false
1029,2,false
1030,2,false
1031,2,false
1032,127,false
1033,127,false
1034,2,false
1035,2,false
1036,2,false
1037,93,false
1038,2,false
1039,2,false
1040,2,false
1041,2,false
1042,2,false
1043,2,false
1044,2,false
1045,2,false
1046,2,false
1047,128,false
1048,2,false
1049,129,false
1050,129,false
1051,130,false
1052,131,false
1053,132,false
1054,2,false
1055,109,false
1056,2,false
1057,2,false
1058,90,false
1059,2,false
1060,93,false
1061,2,false
1062,133,false
1063,2,false
1064,130,false
1065,130,false
1066,130,false
1067,130,false
1068,129,false
1069,129,false
1070,95,false
1071,2,false
1072,2,false
1073,2,false
1074,2,false
1075,134,false
1076,129,false
1077,135,false
1078,136,false
1079,136,false
1080,93,false
1081,95,false
1082,95,false
1083,93,false
1084,95,false
1085,93,false
1086,2,false
1087,2,false
1088,2,false
1089,2,false
1090,2,false
1091,2,false
1092,2,false
1093,2,false
1094,2,false
1095,2,false
1096,2,false
1097,2,false
1098,2,false
1099,135,false
1100,2,false
1101,2,false
1102,2,false
1103,2,false
1104,2,false
1105,2,false
1106,93,false
1107,137,false
1108,137,false
1109,138,false
1110,93,false
1111,93,false
1112,2,false
1113,2,false
1114,93,false
1115,93,false
1116,136,false
1117,2,false
1118,2,false
1119,137,false
1120,137,false
1121,137,false
1122,2,false
1123,2,false
1124,2,false
1125,64,false
1126,64,false
1127,64,false
1128,64,false
1129,64,false
1130,64,false
1131,64,false
1132,137,false
1133,139,false
1134,2,false
1135,140,false
1136,140,false
1137,140,false
1138,93,false
1139,93,false
1140,64,false
1141,140,false
1142,140,false
1143,140,false
1144,64,true
1145,64,true
1146,141,false
1146,64,true
1147,2,false
1148,2,false
1149,142,false
1150,143,false
1151,143,false
1152,142,false
1153,142,false
1154,2,false
1155,2,false
1156,2,false
1157,2,false
1158,2,false
1159,2,false
1160,2,false
1161,144,false
1162,2,false
1163,2,false
1164,145,false
1165,146,false
1166,146,false
1167,147,false
1168,2,false
1169,2,false
1170,2,false
1171,2,false
1172,142,false
1173,2,false
1174,2,false
1175,2,false
1176,148,false
1177,139,false
1178,149,false
1179,2,false
1180,2,false
1181,148,false
1182,2,false
1183,47,false
1184,150,false
1185,150,false
1186,77,false
1187,77,false
1188,103,false
1189,103,false
1190,73,false
1190,72,false
1191,73,false
1191,72,false
1192,151,false
1193,68,false
1194,68,false
1195,78,false
1196,112,false
1197,152,false
1198,62,false
1199,55,false
1200,102,false
1201,107,false
1202,110,false
1202,111,false
1202,112,false
1203,60,false
1203,87,false
1204,60,false
1204,87,false
1205,55,false
1206,100,true
1207,78,false
1208,114,false
1209,114,false
1210,2,false
1211,2,false
1212,112,false
1213,112,false
5000,5,false
5001,5,false
5002,7,false
5003,10,false
5004,2,false
5005,22,false
5005.01,22,false
5006,28,false
5007,28,false
5008,28,false
5009,52,false
5010,52,false
5011,30,false
5012,30,false
5013,30,false
5014,14,false
5015,30,false
5016,23,false
5016.01,23,false
5017,32,false
5018,45,false
5019,32,false
5020,42,false
5020.01,42,false
5021,42,false
5022,61,false
5023,55,false
5023.02,55,false
5024,70,false
5024.01,70,false
5025,150,false
5026,150,false
5027,23,false
5027,49,false
5028,49,false
5028.01,49,false
5029,51,false
5029.01,51,false
5030,153,false
5031,39,false
5032,72,false
5032,82,false
5033,72,false
5033,82,false
5034,82,false
5035,82,false
5036,154,false
5037,82,false
