deep_id,auspice_id,uncertain
5102.06,10,false
5102.07,10,false
5102.08,10,false
5102.09,14,false
5102.10,14,false
5102.11,14,false
5102.12,14,false
5111.01,26,false
5111.02,26,false
5112.01,26,false
5112.02,26,false
5114.01,26,false
5114.02,26,false
5116.01,26,false
5116.02,26,false
5118.01,23,false
5118.02,23,false
5118.03,1,false
5118.04,1,false
5118.05,23,false
5118.06,23,false
5118.09,27,false
5118.10,22,false
5119.01,16,false
5119.02,16,false
5124.18,22,false
5124.19,16,false
5124.20,23,false
5124.21,22,false
5125.01,16,false
5132.01,23,false
5132.02,23,false
5135.01,16,false
5135.02,16,false
5135.03,16,false
5135.04,16,false
5138.01,16,false
5138.02,16,false
5138.03,16,false
5139.01,16,false
5139.02,16,false
5139.03,16,false
5140.04,22,false
5143.01,16,false
5143.02,16,false
5143.03,16,false
5143.04,16,false
5143.05,16,false
5143.06,16,false
5143.07,16,false
5143.08,14,false
5143.09,16,false
5143.10,16,false
5143.11,16,false
5143.12,16,false
5143.13,16,false
5143.14,16,false
5143.15,16,false
5143.16,1,false
5143.17,16,false
5143.18,16,false
5143.19,16,false
5143.20,16,false
5143.21,16,false
5143.22,16,false
5143.23,16,false
5143.24,1,false
5143.25,16,false
5143.26,21,false
5143.27,16,false
5143.28,16,false
5143.29,16,false
5143.30,1,false
5143.31,16,false
5143.32,16,false
5143.33,16,false
5143.35,1,false
5145.01,16,false
5145.02,16,false
5146.02,29,false
5147.01,6,false
5147.02,6,false
5147.03,14,false
5147.04,14,false
5147.05,1,false
5147.06,10,false
5148.01,14,false
5148.02,10,false
5148.03,14,false
5148.04,14,false
5148.05,14,false
5148.06,10,false
5148.07,10,false
5148.08,14,false
5149.01,16,false
5149.02,23,false
5149.03,16,false
5149.04,23,false
5149.05,23,false
5149.06,23,false
5149.07,27,false
5153.01,27,false
5153.02,16,false
5153.03,27,false
5153.04,26,false
5153.05,27,false
5155.01,16,false
5155.02,16,false
5155.03,28,false
5155.03,16,false
5155.04,16,false
5155.05,16,false
5155.06,22,false
5156.01,28,false
5156.01,23,false
5156.02,28,false
5156.02,23,false
5158.01,1,false
5158.02,1,false
5161.01,16,false
5161.02,16,false
5162.01,16,false
5162.02,16,false
5163.01,1,false
5163.02,1,false
5163.03,1,false
5163.04,1,false
5164.01,1,false
5164.02,1,false
5165.01,16,false
5165.02,16,false
5165.03,16,false
5170.01,23,false
5170.02,16,false
5171.01,16,false
5171.02,16,false
5172.01,28,false
5172.01,23,false
5172.02,28,false
5172.02,23,false
5173.02,1,false
5173.03,1,false
5176.01,16,false
5176.02,1,false
5176.03,1,false
5176.04,1,false
5178.01,1,false
5182.01,23,false
5182.02,23,false
5182.03,1,false
5182.04,16,false
5182.05,26,false
5182.06,26,false
