deep_id,author_id,uncertain
638,89,false
638,90,false
639,89,false
639,90,false
640,89,false
640,90,false
641,71,false
642,80,false
643,80,false
644,80,false
645,114,false
646,114,false
647,81,false
648,69,false
649,81,false
650,81,false
650,93,false
651,81,false
651,93,false
652,81,false
652,93,false
653,115,false
654,115,false
655,116,false
656,71,false
657,104,false
658,104,false
659,104,false
660,89,false
660,90,false
661,89,false
661,90,false
662,89,false
662,90,false
663,89,false
663,90,false
664,89,false
664,90,false
665,89,false
665,90,false
666,89,false
666,90,false
667,89,false
667,90,false
668,81,false
669,81,false
670,89,false
670,90,false
671,89,false
671,90,false
672,89,false
672,90,false
673,89,false
673,90,false
674,89,false
674,90,false
675,0,false
676,0,false
677,89,false
677,90,false
678,89,false
678,90,false
679,89,false
679,90,false
680,89,false
680,90,false
681,89,false
681,90,false
682,89,false
682,90,false
683,89,false
683,90,false
684,89,false
684,90,false
685,89,false
685,90,false
686,117,true
687,81,false
687,93,false
688,81,false
688,93,false
689,118,false
690,81,false
691,89,false
691,90,false
691,119,false
692,89,false
692,90,false
692,119,false
693,89,false
693,90,false
693,119,false
694,57,false
695,57,false
696,57,false
697,68,false
697,119,false
698,68,false
698,119,false
699,68,false
699,119,false
700,68,false
700,119,false
701,69,false
702,69,false
703,95,false
703,120,false
704,95,false
704,120,false
705,81,false
706,121,false
707,121,false
708,121,false
709,69,false
710,119,false
711,119,false
712,81,false
713,82,false
714,82,false
715,82,false
716,82,false
717,69,false
718,119,false
719,119,false
720,119,false
721,82,false
722,0,false
723,0,false
724,69,false
725,81,false
726,81,false
727,81,false
728,81,false
729,81,false
730,122,false
731,123,false
731,124,false
732,125,false
733,68,false
734,126,false
735,126,false
736,68,false
737,127,false
738,128,false
739,128,false
740,119,false
741,119,false
742,129,false
743,129,false
744,129,false
745,0,false
746,0,false
747,0,false
748,127,false
749,127,false
750,129,false
751,129,false
752,119,false
753,81,false
754,0,false
755,68,false
756,119,false
757,119,false
758,119,false
759,119,false
760,69,false
761,74,false
762,130,false
762,131,false
763,130,false
763,131,false
764,68,false
765,129,false
766,129,false
767,69,false
768,132,false
769,65,false
770,65,false
771,65,false
772,65,false
773,78,false
774,78,false
775,133,false
776,133,false
777,78,false
778,134,false
779,134,false
780,121,false
781,135,false
782,69,false
783,136,false
784,136,false
785,136,false
786,69,false
787,133,false
788,119,false
789,93,false
790,137,false
791,137,false
792,129,false
793,138,false
794,104,false
794,119,false
795,139,false
796,78,false
797,78,false
798,78,false
799,78,false
800,140,false
801,140,false
802,140,false
803,140,false
804,140,false
805,119,false
806,119,false
807,93,false
808,0,false
809,0,false
810,129,false
811,119,false
812,47,false
813,141,false
814,129,false
815,126,false
816,129,false
817,126,false
818,137,false
819,142,false
820,78,false
821,78,false
822,133,false
823,126,false
824,126,false
825,143,true
826,129,false
827,129,false
828,129,false
829,129,false
830,129,false
831,129,false
832,68,false
833,126,false
834,126,false
835,90,false
835,57,false
836,78,false
837,78,false
837,138,false
838,144,false
839,145,false
840,127,false
841,127,false
842,129,false
843,146,false
844,78,false
845,147,false
846,127,false
847,148,true
848,148,true
849,78,false
850,78,false
